"date","acn_volume","adbe_volume","amd_volume","crm_volume","ibm_volume","intc_volume","intu_volume","nflx_volume","sony_volume","txn_volume"
"2013-06-25","2898100","3366300","26642400","5831200","4023125","34571300","3350800","20918800","1874200","7825800"
"2013-06-26","3065500","5356400","19841200","5046600","3472929","33645000","3122700","18834200","2439000","6596900"
"2013-06-27","4106900","2916500","17426100","5187200","3675853","25564500","2831700","18326700","2746500","6720200"
"2013-06-28","28284300","4052600","13329600","5064800","10518367","80413900","3500300","19581100","3036100","11343300"
"2013-07-01","6396100","6341400","10712200","3799100","4646750","29698200","4443200","24517500","2158700","5246700"
"2013-07-02","4684700","3025100","17766600","4111000","3825954","28290100","3928800","17730300","2563600","7795600"
"2013-07-03","2903300","1597300","11315900","2292300","1958740","18167200","1615300","8625400","1091100","4074200"
"2013-07-05","3125500","1614600","8965400","2824600","2516048","17830400","1589600","9957500","1508700","5764600"
"2013-07-08","4583900","2813100","16930900","3846100","3083085","68826600","2538400","24289300","1502100","8024200"
"2013-07-09","4338500","2578900","9550900","3796000","5443593","34739800","1639900","35509600","1233300","6284900"
"2013-07-10","3546500","2684700","19122800","4668200","4071032","50037500","1564900","22578500","1034900","7016500"
"2013-07-11","4098000","3293500","106975700","6911700","4369665","41313800","1871100","21146300","1605000","10298900"
"2013-07-12","3508400","4135700","50286600","5274600","4701456","34561900","1884200","34238400","1065300","6618900"
"2013-07-15","2247400","2122800","21953700","4151300","5935736","25650100","2251600","20612900","1284100","6279500"
"2013-07-16","3676300","2473100","39716700","3897400","3917584","34496100","1585200","33356400","1608400","5192600"
"2013-07-17","3335500","3135800","17002100","4606300","7184346","44084200","1889000","19510400","2083000","5810900"
"2013-07-18","2646900","2641600","70347000","5920400","8779496","77863900","1650300","20487600","1402400","6911300"
"2013-07-19","4100500","2764000","151516000","6078500","7319490","45866700","2075700","18120200","1647000","8238400"
"2013-07-22","2697300","1782900","50010900","3133800","3554308","35890900","1110600","47313700","3804400","7906500"
"2013-07-23","2495000","1708600","76847700","4638200","2995535","28521400","1293500","76829200","2486000","21958000"
"2013-07-24","2318300","2407400","50913500","6022200","3093963","33432700","1927400","33409600","1327200","10252200"
"2013-07-25","3265100","2242800","29243400","5236900","3152958","114558100","1737100","19634300","2146800","9191700"
"2013-07-26","3391100","2918000","42575800","2733000","2599415","110474500","1694100","17826900","1742800","6965000"
"2013-07-29","3101600","2352400","32247500","3087200","2210930","85543100","1692100","13215300","2781000","4970300"
"2013-07-30","3977100","2758000","19611600","4357900","2785707","28855200","1146800","10890600","2663400","6160000"
"2013-07-31","3839600","3813500","34342100","3263200","3985260","27679200","1193600","13120800","7249100","8871300"
"2013-08-01","2972200","3497600","22276700","5479000","3010074","37832700","1702300","14139300","2973800","8625100"
"2013-08-02","4042600","3761000","13481100","3494500","4052204","36242100","1771200","13879600","3607800","9305700"
